Johanneksen evankeliumi suomeksi ja vosaksi.	Johanof rossa mu fin a vosa.
18 Ei ota kenkään sitä minulta, vaan minä panen sen itsestäni. Minulla on valta sitä panna ja minulla on valta sitä taas ottaa. Sen käskyn minä sain Isältäni.	18 Ej aap kojo it ut aj, mut aj paa it ob aut. Aj oof pö it paa a aj oof pö it anen aap. It pötusa aj aafen ut ajof Ma.
19 Niin tuli taas riita Juutalaisten keskellä näiden puheitten tähden.	19 Itli uuten anen pos midin jutjosi forsy täsiof sasasi.
20 Ja moni heistä sanoi. Hänellä on perkele ja hän on mieletön. Mitä te häntä kuuntelette?	20 A si ob häsi saaen. Hä oof ahjo a hä oo miejva. Ko jasi hä höör?
21 Mutta muut sanoivat: Ei ne ole riivatun puheet, taitaako perkele sokean silmät avata?	21 Mut tuasi saaen: Ej itsi oo ahhooen sasasi, livoteeko ahjo ejvokajo kaevsi ouup?
22 Ja Jerusalemissa oli kirkkomessu ja talvi oli.	22 A in Jerusalem ooen ustolhajoser a kalno ooen.
23 Ja Jeesus käveli temppelissä Salomon esihuoneessa.	23 A Jesus vetuuten in roustol Salomo-of edtolik.
24 Niin Juutalaiset piirittivät hänen ja sanoivat hänelle: Kuinka kauan sinä kiusaat meitä? Jos olet Kristus, niin sano meille selkeästi.	24 Itli jutjosi rausiipen hä a saaen tu hä: Koli luna ja miahtee ajsi? If ja oo Krist, itli saa ja tu ajsi soklirli.
25 Jeesus vastasi heille: Minä olen sen teille sanonut ja ette usko. Ne työt, jotka minä teen Isäni nimeen, todistavat minusta.	25 Jesus ooken tu häsi: Aj oo it tu jasi saaen a jasi ej uus. Itsi tösi, kosi aj tee intu ajof ma ersa, dariil öb aj.
26 Mutta ette usko. Sillä ette ole minun lampaistani, niin kuin minä teille sanoin.	26 Mut jasi ej uus. Syfor jasi ej oo ob ajof bääpesi, itli li aj tu jasi saaen.
27 Minun lampaani kuulevat minun ääneni ja minä tunnen heidät ja he seuraavat minua.	27 Ajof bääpesi vohöö ajof hö a aj kavodaa häsi a häsi dekaa aj.
28 Ja minä annan heille iankaikkisen elämän ja ei heidän pidä hukkuman iankaikkisesti, eikä pidä yhdenkään repäisemän heitä minun kädestäni.	28 A aj faa for häsi kikinova eo a ej häsi piit kaseöön kikinoli, a ej piit is a isurreek häsi ut ajof pave.
29 Minun isäni, joka ne minulle antoi, on suurempi kaikkia ja ei kenkään taida heitä reväistä minun Isäni kädestä.	29 Ajof ma, kojo itsi tu aj faaen, oo pipir ob ki a ejkojo livotee häsi urreek ut ajof Maof pave.
30 Minä ja Isä olemme yhtä.	30 Aj a ma oo is.
31 Niin juutalaiset poimivat taas kiviä häntä kivittääksensä.	31 Itli jutjosi utkaapen anen kamsi for kamheii hä.
32 Jeesus vastasi heille: Minä osoitin teille Isältäni monta hyvää työtä. Minkä työn tähden niistä te siis minun kivitätte?	32 Jesus ooken tu häsi: Aj tukaaen tu jasi ut ajof Ma si hava tösi. Forsy ko tö ob itsi jasi syklirli kamheii aj?
33 Juutalaiset vastasivat hänelle, sanoen: Emme sinua hyvän työn tähden kivitä, vaan pilkan tähden ja että sinä, joka ihminen olet, teet itsesi Jumalaksi.	33 Jutjosi ooken tu hä, saali: Ajsi ej ja forsy hava tö kamheii, mut forsy pilk a syt ja, kojo mäm oo, tee aut mu Hajo.
34 Jeesus vastasi heille: Eikö teidän laissanne ole kirjoitettu: Minä sanon, te olette jumalat?	34 Jesus ooken tu häsi: Ejko in jasiof pöso oo kiiren: Aj saa, jasi oo hajosi?
35 Jos hän ne kutsui jumaliksi, joille Jumalan sana tapahtui ja ei kirjoitusta taideta rikkoa.	35 If hä tukooen itsi hajosi, tu kojosi Hajo-of sa hääpen a ej livoteeta ahreek kir.
36 Ja te sanotte hänelle, jonka Isä on pyhittänyt ja lähettänyt maailmaan: Sinä pilkkaat Jumalaa, että minä sanoin: Minä olen Jumalan Poika.	36 A jasi saa tu hä, kojo Ma oo pyyhen a pagaaen tu köl: Ja piilk Hajo, syt aj saaen: Aj oo Hajo-of Son.
37 Ellen minä tee minun Isäni töitä, niin älkää minua uskoko.	37 If aj ej tee ajof ma tösi, itli ej jasi uus aj.
38 Mutta jos minä niitä teen ja jos ette minua usko, niin uskokaa ne työt, että te tuntisitte ja uskoisitte Isän olevan minussa ja minun hänessä.	38 Mut if aj itsi tee a if jasi ej uus aj, itli uus jasi itsi tösi, syt jasi kavodaaif a uusif syt Ma oo in aj a aj in hä.
39 Niin he etsivät taas häntä kiinni ottaaksensa, mutta hän läksi heidän käsistänsä.	39 Itli häsi seeken anen hä for ru aapif, mut hä urtuuen ut häof pavesi.
40 Ja meni jälleen toiselle puolelle Jordania, siihen paikkaan, jossa Johannes ensin kasti ja viipyi siinä.	40 A tuuen dunen le duva sid Jordanlo, tuit lo, koin Johan isvana usvaamen a apnooen itin.
41 Ja monta tuli hänen tykönsä ja sanoivat: Ei Johannes yhtäkään ihmettä tehnyt, mutta kaikki mitä Johannes tästä sanoi, ne ovat todet.	41 A si uuten tu hä a saaen: Ej Johan is a voejhäp tee-en mut ki ko Johan täöb saaen, itsi oo rilsi.
42 Ja monta uskoi siksi häneen.	42 A si uusen syfor intu hä.
Johannes 11	Johan 11
1 Niin mies sairasti, nimeltä Lasarus, Betaniasta, Marian ja hänen sisarensa Martan kylästä.	1 Itli mä reeten, vi ersa Lasarus, ut Betania, ut Maria a häof bajvijo Marta cel.
2 Mutta Maria oli se, joka voiteli Herran voiteella ja hänen jalkansa hiuksillansa kuivaksi, jonka veli Lasarus sairasti.	2 Mut Maria ooen it, kojo oilpaaen romä vi oilpamo a häof tuve vy päheörsi mu tovva, kojo-of bajson Lasarus reeten.
3 Niin hänen sisarensa lähettivät Jesukselle sanan: Herra, katso, se sairastaa, jota rakastat.	3 Itli häof bajvijosi pagaaen tu Jesus sa: Romä, kaa ja, it reet, kojo ja raa.
4 Kun Jeesus sen kuuli, sanoi hän: Ei tämä tauti ole kuolemaksi, vaan Jumalan kunniaksi, että Jumalan Poika sen kautta kunnioitettaisiin.	4 Na Jesus it vohööen, saaen hä: Ej tä ret oo mu eön, mut mu Hajo-of hon, syt Hajo-of Son intuni it honrooifta.
5 Mutta Jeesus rakasti Marttaa, hänen sisartansa ja Lasarusta.	5 Mut Jesus raaen Marta, häof bajnos a Lasarus.
6 Kun hän siis kuuli hänen sairastavan, niin hän viipyi siinä paikassa kaksi päivää.	6 Na hä syklirli vohööen syt hä reet, itli hä apnooen itin lo du tansi.
7 Sitten sanoi hän opetuslapsillensa: Menkäämme jälleen Juudeaan.	7 Iten saaen hä tu usdavjosi: Tuu ajsi dunen tu Judea.
8 Sanoivat hänelle opetuslapset: Rabbi, äsken etsivät Juutalaiset sinua kivittääksensä ja sinä menet taas sinne.	8 Saaen tu hä usdavjosi: Ropadaavjo, rafnen seeken jutjosi ja for kamheii a ja tuu anen itle.
9 Vastasi Jeesus: Eikö kaksitoista ole päivän hetkeä? Jos joku päivällä vaeltaa, ei hän loukkaa itseänsä, sillä hän näkee tämän maailman valkeuden.	9 Ooken Jesus: Ejko basdu oo tanof ipnosi? If öjo tanna tutuu, hä ej ahreek aut, syfor hä vokaa tä köl vitvao.
10 Mutta jos joku yöllä vaeltaa, hän loukkaa itsensä, sillä ei valkeus ole hänessä.	10 Mut if öjo natna tutuu, hä ahreek aut, syfor ej vitvao oo in hä.
11 Näitä hän puhui ja sanoi sitten heille: Ystävämme Lasarus makaa, mutta minä menen häntä unesta herättämään.	11 Täsi hä sasaaen a saaen itne tu häsi: Ajsiof havijo Lasarus leioo, mut aj tuu hä ut nukka teönnuuk.
12 Niin sanoivat hänen opetuslapsensa: Herra, jos hän makaa, kyllä hän paranee.	12 Itli saaen häof usdavjosi: Romä, if hä leioo, je hä auttermuu.
13 Mutta Jeesus sanoi hänen kuolemastansa, vaan he luulivat hänen sanovan unen makaamisesta.	13 Mut Jesus saaen öb häof eön, mut häsi mejuusen hä saa öb nukka leioote.
14 Niin Jeesus sanoi heille selkeästi: Lasarus on kuollut.	14 Itli Jesus saaen tu häsi soklirli: Lasarus oo eöönen.
15 Ja minä iloitsen teidän tähtenne, etten minä siellä ollut, että te uskoisitte. Mutta menkäämme hänen tykönsä.	15 A aj roos forsy jasi, syt aj ej itla ooen, syt jasi uusif. Mut tuu ajsi tu hä.
16 Niin sanoi Tuomas, joka kutsutaan kaksoseksi, muille opetuslapsille: Käykäämme myös me, että me kuolisimme hänen kanssansa.	16 Itli saaen Tomas, kojo tukoota redujo, tu tuasi usdavjosi: Tuu ajsi ali ajsi, syt ajsi eöönen vi hä.
17 Niin Jeesus tuli ja löysi hänen jo neljä päivää maanneen haudassa.	17 Itli Jesus uuten a keesen häof ripnen kva tansi leiooen in eönlo.
18 Mutta Betania oli lähellä Jerusalemia, lähes viisitoista vakomittaa.	18 Mut Betania ooen raf Jerusalem, rafli basfiv ducesismetrsi.
19 Ja monta juutalaisista oli tullut Martan ja Marian tykö lohduttamaan heitä heidän veljensä tähden.	19 A si jutjosi ooen uuten tu Marta a Maria for sorvyy häsi forsy häsiof bajson.
20 Kun Martta kuuli Jeesuksen tulevan, juoksi hän häntä vastaa, mutta Maria istui kotona.	20 Na Marta vohööen Jesus uut, tyyen hä ög hä, mut Maria siiten in bal.
21 Niin Martta sanoi Jesukselle: Herra, jos sinä olisit täällä ollut, niin ei minun veljeni olisi kuollut.	21 Itli Marta saaen tu Jesus: Romä, if ja ooif täla ooen, itli ej ajof bajson ooif eöönen.
22 Mutta minä tiedän vielä, että kaikki, mitä sinä anot Jumalalta, ne Jumala sinulle antaa.	22 Mut aj daa pirnen, syt ki, ko ja teaaf ut Hajo, itsi Hajo tu ja faa.
23 Jeesus sanoi hänelle: Sinun veljes on nouseva ylös.	23 Jesus saaen tu hä: Jaof bajson yylne yltu.
24 Martta sanoi hänelle: Minä tiedän hänen nousevan ylösnousemisessa viimeisenä päivänä.	24 Marta saaen tu hä: Aj daa hä yyl in eönyylte na önva tan.
25 Sanoi Jeesus hänelle: Minä olen ylösnousemus ja elämä. Joka uskoo minun päälleni, hän elää, vaikka hän olisi kuollut.	25 Saaen Jesus tu hä: Aj oo eönyylte a eo. Kojo uus intu aj, hä ee, tajli hä ooif eöönen.
26 Ja jokainen, joka elää ja uskoo minun päälleni, ei hänen pidä kuoleman iankaikkisesti. Uskotko sen?	26 A kijo, kojo ee a uus intu aj, ej hä piitne eöön kikinoli. Uusko ja it?
27 Hän sanoi hänelle: Jaa Herra, minä uskon sinun Kristukseksi, Jumalan Pojaksi, joka tuleva oli maailmaan.	27 Hä saaen tu hä: Je Romä, aj uus ja mu Krist, Hajo-of Son, kojo uutva ooen tu köl.
28 Ja kun hän näitä sanonut oli, meni hän pois ja kutsui sisarensa Marian salaa, sanoen: Mestari on tullut ja kutsuu sinua.	28 A na hä täsi saaen ooen, tuuen hä yr a tukooen häöf bajvijo Maria dahidli, saali: Ylvojo oo uuten a tukoo ja.
29 Kun hän sen kuuli, nousi hän kohta ja tuli hänen tykönsä.	29 Na hä vohööen it, yylen hä ipne a uuten tu hä.
30 Sillä ei Jeesus ollut vielä kylään tullut, vaan oli siinä paikassa, jossa Martta oli hänen kohdannut.	30 Syfor ej Jesus ooen pirnen tu cel uuten, mut ooen itin lo, koin Marta ooen häof ögkaaen.
31 Kun siis Juutalaiset, jotka hänen kanssansa huoneessa olivat lohduttamassa häntä, näkivät Marian nousevan ja menevän ulos, seurasivat he häntä, sanoen: Hän menee haudalle itkemään.	31 Na syklirli jutjosi, kojosi vi hä in tolik ooen sorvyynen hä, vokaaen Maria yylva a tuuva nitu, dekaaen häsi hä, saali: Hä tuu tu eönlo eeh.
32 Kun Maria sinne tuli, kussa Jeesus oli ja näki hänen, lankesi hän hänen jalkojensa juureen ja sanoi hänelle: Herra, jos olisit täällä ollut, ei olisi minun veljeni kuollut.	32 Na Maria itle uuten, koin Jesus ooen a vokaaen hä, lyyen hä tut häof tuvesi a saaen tu hä: Romä, if ja ooif täla ooen, ej ooif ajof bajson eöönen.
33 Kun Jeesus näki hänen itkevän ja Juutalaiset, jotka hänen kanssansa tulleet olivat, itkevän, kauhistui hän hengessä ja tuli sangen murheelliseksi.	33 Na Jesus vokaaen hä eehva a jutjosi, kojosi vi hä uuten ooen, eehva, authiiren hä in ho a muuen errili sorva.
34 Ja sanoi: Kuhunka te hänen panitte? He sanoivat hänelle: Herra, tule ja katso.	34 A saaen: Kotu jasi hä paaen? Häsi saaen tu hä: Romä, uut ja a kaa ja.
35 Ja Jeesus itki.	35 A Jesus eehen.
36 Niin sanoivat juutalaiset: Katso, kuinka hän rakasti häntä.	36 Itli saaen jutjosi: Kaa ja, koli hä raaen hä.
37 Mutta muutamat heistä sanoivat: Eikö tämä, joka sokean silmät avasi, tainnut tehdä, ettei tämäkään kuollut olisi?	37 Mut ipsi öb häsi saaen: Ejko tä, kojo ejvokajo kaevsi ouupen, livotee-en tee, syt ej tä a eöönen ooif?
38 Niin Jeesus kauhistui taas itsessänsä ja tuli haudan tykö. Mutta siinä oli kuoppa ja kivi sen päälle pantu.	38 Itli Jesus authiiren anen in aut a uuten tu eönlö. Mut itin ooen kuol a kam le it paaen.
39 Jeesus sanoi: Ottakaa kivi pois. Sanoi hänelle Martta, sen sisar, joka kuollut oli: Herra, jo hän haisee, sillä hän on neljä päivää kuolleena ollut.	39 Jesus saaen: Aap jasi kam yr. Saaen tu hä Marta, itof bajnos, kojo eöönen ooen: Romä, ripnen hä leems, syfor hä oo kva tansi na eöönen ooen.
40 Jeesus sanoi hänelle: Enkö minä sinulle sanonut: Jos sinä uskoisit, niin sinä näkisit Jumalan kunnian.	40 Jesus saaen tu hä: Ejko aj tu ja saaen: If ja uusif, itli ja vokaaif Hajo-of hon.
41 Ja he ottivat kiven pois sialtansa, johon kuollut pantu oli. Niin Jeesus nosti silmänsä ylös ja sanoi: Isä, minä kiitän sinua, että minua kuulit.	41 A häsi aapen kam yr culo, kointu eöönen paaen ooen. Itli Jesus payylen häof kaevsi yltu a saaen: Ma, aj haforsaaen ja, syt aj vohööen.
42 Mutta minä tiedän myös, että aina minua kuulet, vaan kansan tähden, joka tässä ympärillä seisoo, sanon minä, että he uskoisivat sinun minun lähettäneeksi.	42 Mut aj daa ali, syt kina vohöö aj, mut forsy hyj, kojo täin raula tiis, aj saa, syt häsi uusif ja pagaaen aj.
43 Ja kun hän nämä sanonut oli, huusi hän suurella äänellä: Lasarus, tule ulos.	43 A na hä täsi saaen ooen, sääen hä vy piva hö: Lasarus, uut ja nitu.
44 Ja se kuollut tuli ulos sidottuna käsistä ja jaloista kääreliinalla ja hänen kasvonsa olivat sidotut ympäri hikiliinalla. Jeesus sanoi heille: Päästäkää häntä ja antakaa hänen mennä.	44 A it eöönen uuten nitu virupaaen vi pavesi a tuvesi vy eönjovat a häof edpä ooen virupaaen rauli vy laevvom leivat. Jesus saaen tu häsi: Fatuu jasi hä a faa jasi hä tuu.
45 Niin monta juutalaista, jotka olivat Marian tykö tulleet ja näkivät mitä Jeesus teki, uskoivat häneen.	45 Itli si jutjosi, kojosi ooen tu Maria uuten a häsi vokaaen ko Jesus tee-en, uusen intu hä.
46 Mutta muutamat heistä menivät farisealaisten tykö ja ilmoittivat heille, mitä Jeesus oli tehnyt.	46 Mut ipsi ob häsi tuuen tu pösousjosi a dafaaen tu häsi, ko Jesus ooen tee-en.
47 Niin ylimmäiset papit ja farisealaiset kokosivat neuvon ja sanoivat: Mitä me teemme? Sillä tämä ihminen tekee monta ihmettä.	47 Itli yllast ussajosi a pösousjosi viaapen lisa a saaen: Ko ajsi tee? Syfor tä mäm tee si voejhäpsi.
48 Jos me sallimme hänen niin olla, niin kaikki uskovat häneen ja roomalaiset tulevat ja ottavat pois sekä meidän maamme että kansamme.	48 If ajsi pöfaa hä itli oo, itli ki uus intu hä a romejosi uut a aap yr duvio ajsiof hyl a hyj.
49 Mutta yksi heistä, Kaifas nimeltä, joka oli sinä vuonna ylimmäinen pappi, sanoi heille: Ette mitään tiedä.	49 Mut is ob häsi, Kaifas vi ersa, kojo ooen tä jänna yllast ussajo, saaen tu häsi: Jasi ejö daa.
50 Ette myös ajattele, että se on meille tarpeellinen, että yksi ihminen kuolee kansan tähden, ettei kaikki kansa hukkuisi.	50 Jasi ej ali soo, syt it oo tu ajsi nidva, syt is mäm eöön forsy hyj, syt ej ki hyj kaseöönif.
51 Mutta ei hän sitä itsestänsä sanonut, vaan että hän oli sinä vuonna ylimmäinen pappi, niin hän ennusti, että Jeesuksen piti kuoleman kansan tähden.	51 Mut ej hä it ob aut saaen, mut syt hä ooen it jänna yllast ussajo, itli hä ennesaaen, syt Jesus piit eöön forsy hyj.
52 Ja ei ainoastaan kansan tähden, mutta että hänen piti ne Jumalan lapset, jotka hajotetut olivat, yhteen kokooman.	52 A ej erisli forsy hyj, mut syt hä piit itsi Hajo-of ipmämsi, kojosi silomuuen ooen, tuisvi viaap.
53 Mutta siitä päivästä pitivät he yhteen neuvoa kuolettaaksensa häntä.	53 Mut ut it tan paooen häsi tuisvi lisa for te-eöön hä.
54 Ei siis Jeesus vaeltanut enää Juutalaisten seassa julkisesti, vaan meni sieltä yhteen maan paikkaan lähes korpea, siihen kaupunkiin, joka kutsutaan Efaraim ja oleskeli siellä opetuslastensa kanssa.	54 Ej syklirli Jesus tutuuen ejpirnen insio jutjosi dihli, mut tuuen itel tu is hyl lo rafli vildmol, tuit taunlo, ko tukoota Efaraim a siooen itla vi usdavjosi.
55 Mutta Juutalaisten pääsiäinen lähestyi ja monta siitä maakunnasta meni pääsiäisen edellä Jerusalemiin puhdistamaan itseänsä.	55 Mut jutjosiof Afturono autrafpiiren a si ob it fol tuuen edna Afturono tu Jerusalem for kliin aut.
56 Niin he etsivät Jeesusta ja puhuivat keskenänsä, seisoen temppelissä: Mitä te luulette, ettei hän ole juhlalle tullut?	56 Itli häsi seeken Jesus a sasaaen vigög häsi, tiisli in roustol: Ko jasi mejuus, syt ej hä oo tu rono uuten?
57 Ja ylimmäiset papit ja Farisealaiset olivat käskyn antaneet, että jos joku tietäisi, kussa hän olisi, niin hänen piti sen ilmoittaman, että he ottaisivat hänet kiinni.	57 A yllast ussajosi a pösousjosi ooen pötusa faaen, syt if öjo daaif, koin hä ooif, itli hä piit it dafaa, syt häsi aapif ru hä.
Johannes 12	Johan 12
1 Kuusi päivää ennen pääsiäistä tuli Jeesus Betaniaan, jossa Lasarus oli, joka kuollut oli, jonka hän kuolleista herätti.	1 Sik tansi en Afturono uuten Jesus tu Betania, koin Lasarus ooen, kojo eöönen ooen, kojo hä ut eön teönnuuken.
2 Niin he valmistivat hänelle siellä ehtoollisen ja Martta palveli, mutta Lasarus oli yksi niistä, jotka hänen kanssansa aterioivat.	2 Itli häsi enfortee-en tu hä itla usem a Marta seer mut Lasarus ooen is ob itsi, kojosi vi hä emooben.
3 Niin Maria otti naulan turmelematonta ja kallista nardusvoidetta ja voiteli Jeesuksen jalat ja kuivasi hänen jalkansa hiuksillansa. Ja huone täytettiin voiteen hajusta.	3 Itli Maria aapen rupik teaahejva a ylrovva nardus oilpamo a oilpaaen Jesusof tuvesi a tooven häof tuvesi vy päheörsi. A tolik fuulenta ut oilpamo smel.
4 Niin sanoi yksi hänen opetuslapsistansa, Juudas Simonin poika Iskariot, joka hänen sitten petti:	4 Itli saaen is ob häof usdavjosi, Judas Simonof son Iskariot, kojo hä itne hatuaahen:
5 Miksi ei tätä voidetta myyty kolmeensataan penninkiin ja annettu vaivaisille?	5 Kosy ej tä oilpamo fääenta tu treces cesikrovsi a faaen tu tesafjosi?
6 Mutta hän sanoi sen, ei että hän murhetta piti vaivaisista, vaan että hän oli varas ja hänellä oli kukkaro, jossa hän sen kantoi, mikä siihen pantu oli.	6 Mut hä saaen it, ej syt hä sor paooen öb tesafjosi, mut syt hä ooen ahapjo a hä oofen rovipbäg, koin hä it pogaagen, ko tuit paaen ooen.
7 Niin Jeesus sanoi: Anna hänen olla, hän on sen kätkenyt minun hautaamiseni päiväksi.	7 Itli Jesus saaen: Faa hä oo, hä oo it hiiden for ajof intumolpa tan.
8 Sillä teidän tykönänne ovat aina vaivaiset, mutta en minä aina teillä ole.	8 Syfor tut jasi oo kina tesafjosi, mut kina jasi ej oof aj.
9 Niin paljon kansaa juutalaisista ymmärsi hänen siellä olevan ja tulivat sinne, ei ainoastaan Jeesuksen tähden, vaan että he olisivat myös Lasaruksen nähneet, jonka hän oli kuolleista herättänyt.	9 Itli piri hyj ob jutjosi dakavooen hä itla oova a uuten itle, ej erisli forsy Jesus, mut syt häsi ooif ali Lasarus vokaaen, kojo hä ooen ut eön teönnuuken.
10 Mutta ylimmäiset papit pitivät neuvoa myös Lasarusta tappaaksensa,	10 Mut yllast ussajosi paooen lisa for ali Lasarus paeöönif,
11 sillä monta juutalaisista meni sinne hänen tähtensä ja uskoivat Jeesukseen.	11 syfor si ob jutjosi tuuen itle forsy hä a uusen intu Jesus.
12 Toisena päivänä, kun paljon kansaa, joka juhlalle tullut oli, kuuli Jeesuksen tulleen Jerusalemiin,	12 Na duva tan, na piri hyj, ko tu rono uuten ooen, vohööen Jesus uuten intu Jerusalem,
13 ottivat he palmun oksia, menivät häntä vastaan ja huusivat: Hoosianna! Siunattu on se, joka tulee Herran nimeen, Israelin kuningas!	13 aapen häsi palmpu epharsi, tuuen ög hä a sääen: Hosianna! Haussaaen oo it, kojo uut intu Romä ersa, roylmä of Isrlo!
14 Mutta Jeesus sai yhden aasin ja istui sen päälle, niin kuin kirjoitettu on:	14 Mut Jesus aafen is aspe a siiten le it, itli li kiiren oo:
15 Älä pelkää, Siionin tytär! Katso, sinun kuninkaasi tulee ja istuu aasin varsan päällä.	15 Ej ja raak, Siionof nos! Kaa ja, jaof roylmä uut a siit la aspe ippope.
16 Mutta ei hänen opetuslapsensa näitä ensiksi ymmärtäneet, vaan sitten kun Jeesus oli kirkastettu, silloin he muistivat, että nämä ovat hänestä kirjoitetut ja että he näitä hänelle tehneet olivat.	16 Mut ej häof usdavjosi täsi isvana dakavooen, mut itne na Jesus ooen kliiren, itna häsi sööen, syt täsi oo öb hä kiiren a syt häsi täsi tu hä tee-en ooen.
17 Mutta se kansa todisti, joka hänen kanssansa oli, että hän Lasaruksen haudasta kutsui ja kuolleista herätti.	17 Mut it hyj dariilen, kojo vi hä ooen, syt hä Lasarus ut eönlo tukooen a ut eön teönnuuken.
18 Sen tähden myös kansa meni häntä vastaan, että he kuulivat hänen sen ihmeen tehneeksi.	18 Forsy it ali hyj tuuen ög hä, syt häsi vohööen hä it voejhäp tee-en.
19 Niin Farisealaiset sanoivat keskenänsä: Te näette, ettette mitään aikoihin saa, katso, koko maailma juoksee hänen perässänsä.	19 Itli pösousjosi saaen vigög häsi: Jasi vokaa, syt jasi ejö nosina aaf, kaa ja, kio köl tyy dein hä.
20 Mutta muutamat kreikkalaiset olivat niistä, jotka menivät ylös juhlana rukoilemaan.	20 Mut ipsi grekjosi ooen ob itsi, kojosi tuuen yltu na rono usteaaf.
21 Niin he menivät Filippuksen tykö, joka oli Galilean Betsaidasta ja rukoilivat häntä, sanoen: Herra, me tahdomme nähdä Jeesusta.	21 Itli häsi tuuen tu Filippus, kojo ooen ut Galilea Betsaida a usteaafen hä, saali: Romä, ajsi obraa vokaa Jesus.
22 Filippus meni ja sanoi sen Andreakselle ja Andreas taas ja Filippus sanoivat sen Jeesukselle.	22 Filippus tuuen a saaen it tu Andreas a Andreas anen a Filippus saaen it tu Jesus.
23 Mutta Jeesus vastasi heille ja sanoi: Aika on tullut, että Ihmisen Poika pitää kirkastettaman.	23 Mut Jesus ooken tu häsi a saaen: No oo uuten, syt Mämof Son piit kliir.
24 Totisesti, totisesti sanon minä teille: Ellei maahan pudonnut nisun jyvä kuole, niin se jää yksinänsä, mutta jos se kuolee, niin se tuo paljon hedelmää.	24 Darilli, darilli aj saa tu jasi: Ifej tu mol autlyyen vitvilep vilsem eöön, itli it jää isvi, mut if it eöön, itli it aag piri hedsi.
25 Joka rakastaa henkeänsä, hän kadottaa sen, mutta joka tässä maailmassa vihaa henkeänsä, hän tuottaa sen iankaikkiseen elämään.	25 Kojo raa häof ho, hä pakayyr it, mut kojo täin köl aar häof ho, hä too it intu kikinova eo.
26 Jos joku minua palvelee, hän seuratkoon minua. Ja kussa minä olen, siellä pitää myös minun palvelijani oleman. Ja jos joku minua palvelee, häntä on Isä kunnioittava.	26 If öjo seer aj, dekaa hä aj. A koin aj oo, itla piit ali ajof seerjosi oo. A if öjo seer aj, Ma piit honroo hä.
27 Nyt on minun sieluni suuresti murheissansa ja mitä minun pitää sanoman? Isä, vapahda minut tästä hetkestä. Kuitenkin olen minä sen tähden tähän hetkeen tullut.	27 Nen ajof hoj oo pili in sorsi a ko aj piit saa? Ma, friuur aj täut ipno. Amut aj oo forsy it tu tä ipno uuten.
28 Isä, kirkasta sinun nimesi. Niin ääni tuli taivaasta ja sanoi: Minä olen sen kirkastanut ja tahdon vielä nyt kirkastaa.	28 Ma, kliir ja jaof ersa. Itli hö uuten ut halo a saaen: Aj oo it kliiren a aj obraa pirnen nen kliir.
29 Niin kansa, joka läsnä seisoi ja sen kuuli, sanoi ukkosen jylisseen. Muut sanoivat: Enkeli puhutteli häntä.	29 Itli hyj, ko tutvi tiisen a it vohööen, saaen sähnista jymhööen. Tuasi saaen: Enkjo cuvisaaen hä.
30 Jeesus vastasi ja sanoi: Ei tämä ääni tullut minun, vaan teidän tähtenne.	30 Jesus ooken a saaen: Ej tä hö uuten forsy aj, mut forsy jasi.
31 Nyt tämä maailma tuomitaan. Nyt tämän maailman päämies syöstään vallasta.	31 Nen tä köl pöcuuta. Nen tä köl pämä pönoplypaata.
32 Ja kun minä maasta nostetaan ylös, niin minä vedän kaikki minun tyköni.	32 A na aj ut mol payylta yltu, itli aj poaag ki tu aj.
33 Mutta sen hän sanoi, muistuttaen millä kuolemalla hänen piti kuoleman.	33 Mut it hä saaen, teobsööli kovy eön hä piitne eöön.
34 Niin kansa vastasi hänelle ja sanoi: Me olemme laista kuulleet Kristuksen pysyvän iankaikkisesti. Ja kuinka sinä sanot, että Ihmisen Poika pitää nostettaman ylös? Kuka on se Ihmisen Poika?	34 Itli hyj ooken tu hä a saaen: Ajsi oo öb pöso vohööen syt Krist autpaoo kikinoli. A koli ja saa, syt Mämof Son piitne payylta yltu? Kojo oo it Mämof Son?
35 Niin Jeesus sanoi heille: Valkeus on vielä vähän aikaa teidän kanssanne, vaeltakaa niin kauan kun teillä valkeus on, ettei pimeys teitä saisi valtaansa. Joka pimeydessä vaeltaa, ei hän tiedä, kuhunka hän menee.	35 Itli Jesus saaen tu häsi: Vitvao oo pirnen ipri no vi jasi, tutuu jasi itli luna na jasi oof vitvao, syt takvao ej jasi aafif intu itof pö. Kojo in takvao tutuuen, ej hä daa, kotu hä tuu.
36 Uskokaa valkeuden päälle, niin kauan kun teillä valkeus on, että te tulisitte valkeuden lapsiksi. Näitä puhui Jeesus ja meni pois ja lymysi heitä.	36 Uus jasi intu vitvao, itli luna na jasi oof vitvao, syt jasi muuif vitvao ipmämsi. Täsi sasaaen Jesus a tuuen yr a hidlooen häsi.
37 Ja vaikka hän teki monta ihmettä heidän nähtensä, ei he kuitenkaan uskoneet häneen,	37 A tajli hä tee-en si voejhäpsi na häsi vokaaen, häsi amut ej uusen intu hä,
38 että Jesaja profeetan puhe täytettäisiin, jonka hän sanoi: Herra, kuka uskoi meidän saarnamme? Ja kenelle on Herran käsivarsi ilmoitettu?	38 syt Jesaja usennesaajo-of sasa fuulifta, ko hä saaen: Romä, kojo uusen ajsiof ussasa? A kojofor oo Romä lupave dafaaen?
